001,009 ,Intestinal infectious diseases
010,018 ,Tuberculosis
020,027 ,Zoonotic bacterial diseases
030,041 ,Other bacterial diseases
042,042 ,Human immunodeficiency virus [HIV] infection
045,049 ,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system
050,057 ,Viral diseases accompanied by exanthem
060,066 ,Arthropod-borne viral diseases
070,079 ,Other diseases due to viruses and Chlamydiae
080,088 ,Rickettsioses and other arthropod-borne diseases
090,099 ,Syphilis and other venereal diseases
100,104 ,Other spirochaetal diseases
110,118 ,Mycoses
120,129 ,Helminthiases
130,136 ,Other infectious and parasitic diseases
137,139 ,Late effects of infectious and parasitic diseases
140,149 ,Malignant neoplasm of lip oral cavity and pharynx
150,159 ,Malignant neoplasm of digestive organs and peritoneum
160,165 ,Malignant neoplasm of respiratory and intrathoracic organs
170,176 ,Malignant neoplasm of bone connective tissue skin and breast
179,189 ,Malignant neoplasm of genito-urinary organs
190,199 ,Malignant neoplasm of other and unspecified sites
200,208 ,Malignant neoplasm of lymphatic and haematopoietic tissue
210,229 ,Benign neoplasms
230,234 ,Carcinoma in situ
235,238 ,Neoplasms of uncertain behaviour
239,239 ,Neoplasms of unspecified nature
240,246 ,Disorders of thyroid gland
250,259 ,Diseases of other endocrine glands
260,269 ,Nutritional deficiencies
270,279 ,Other metabolic disorders and immunity disorders
280,289 ,Diseases of blood and blood-forming organs
290,294 ,Organic psychotic conditions
295,299 ,Other psychoses
300,316 ,Neurotic disorders personality disorders and other nonpsychotic mental disorders
317,319 ,Mental retardation
320,326 ,Inflammatory diseases of the central nervous system
330,337 ,Hereditary and degenerative diseases of the central nervous system
340,349 ,Other disorders of the central nervous system
350,359 ,Disorders of the peripheral nervous system
360,379 ,Disorders of the eye and adnexa
380,389 ,Diseases of the ear and mastoid process
390,392 ,Acute rheumatic fever
393,398 ,Chronic rheumatic heart disease
401,405 ,Hypertensive disease
410,414 ,Ischaemic heart disease
415,417 ,Diseases of pulmonary circulation
420,429 ,Other forms of heart disease
430,438 ,Cerebrovascular disease
440,448 ,Diseases of arteries arterioles and capillaries
451,459 ,Diseases of veins and lymphatics and other diseases of circulatory system
460,466 ,Acute respiratory infections
470,478 ,Other diseases of upper respiratory tract
480,487 ,Pneumonia and influenza
490,496 ,Chronic obstructive pulmonary disease and allied conditions
500,508 ,Pneumoconioses and other lung diseases due to external agents
510,519 ,Other diseases of respiratory system
520,529 ,Diseases of oral cavity salivary glands and jaws
530,537 ,Diseases of oesophagus stomach and duodenum
540,543 ,Appendicitis
550,553 ,Hernia of abdominal cavity
555,558 ,Non-infective enteritis and colitis
560,569 ,Other diseases of intestines and peritoneum
570,579 ,Other diseases of digestive system
580,589 ,Nephritis nephrotic syndrome and nephrosis
590,599 ,Other diseases of urinary system
600,608 ,Diseases of male genital organs
610,611 ,Disorders of breast
614,616 ,Inflammatory disease of female pelvic organs
617,629 ,Other disorders of female genital tract
630,633 ,Ectopic and molar pregnancy
634,639 ,Other pregnancy with abortive outcome
640,648 ,Complications mainly related to pregnancy
650,659 ,Normal delivery and other indications for care in pregnancy labour and delivery
660,669 ,Complications occurring mainly in the course of labour and delivery
670,677 ,Complications of the puerperium
680,686 ,Infections of skin and subcutaneous tissue
690,698 ,Other inflammatory conditions of skin and subcutaneous tissue
700,709 ,Other diseases of skin and subcutaneous tissue
710,719 ,Arthropathies and related disorders
720,724 ,Dorsopathies
725,729 ,Rheumatism excluding the back
